2 	-0.02055593	-0.02055916	0.05349842	0.09380555	-0.04991939
4 	-0.01044723	-0.01044890	0.01895486	0.07535184	-0.04788640
6 	-0.00685090	-0.00685353	0.01143609	0.07156974	-0.04744641
8 	-0.00512905	-0.00513099	0.00811350	0.06986629	-0.04717755
10 	-0.00408221	-0.00408356	0.00628841	0.06892594	-0.04700282
12 	0.00339597	0.00339835	0.00513236	0.06829510	0.04686419
14 	-0.00290397	-0.00290596	0.00432985	0.06789925	-0.04679669
16 	-0.00253596	-0.00253717	0.00374346	0.06758320	-0.04672856
18 	-0.00225054	-0.00225315	0.00330175	0.06734795	-0.04667830
20 	-0.00202472	-0.00202514	0.00294944	0.06715822	-0.04663507
22 	-0.00184012	-0.00183959	0.00266622	0.06700191	-0.04660108
24 	-0.00168407	-0.00168378	0.00243356	0.06687103	-0.04656830
26 	-0.00155198	-0.00155271	0.00223595	0.06676445	-0.04654765
28 	-0.00144144	-0.00144177	0.00206806	0.06667380	-0.04652626
30 	-0.00134542	-0.00134529	0.00192414	0.06659148	-0.04650556
32 	-0.00126093	-0.00126051	0.00180099	0.06652312	-0.04649006
34 	-0.00118609	-0.00118546	0.00169016	0.06645979	-0.04647470
36 	-0.00112071	-0.00112001	0.00159483	0.06640562	-0.04646168
38 	-0.00106024	-0.00106097	0.00150579	0.06635950	-0.04645050
40 	-0.00100614	-0.00100721	0.00142958	0.06631525	-0.04644057
42 	-0.00095818	-0.00095897	0.00135856	0.06627378	-0.04642901
44 	-0.00091561	-0.00091605	0.00129712	0.06624135	-0.04642274
46 	-0.00087638	-0.00087501	0.00123925	0.06620861	-0.04641465
48 	-0.00083874	-0.00083718	0.00118467	0.06617404	-0.04640585
